NAME,GS<br> follow link to MSigDB,GS DETAILS,SIZE,ES,NES,NOM p-val,FDR q-val,FWER p-val,RANK AT MAX,LEADING EDGE,
REACTOME_TGF_BETA_RECEPTOR_SIGNALING_ACTIVATES_SMADS,REACTOME_TGF_BETA_RECEPTOR_SIGNALING_ACTIVATES_SMADS,,32,0.42006636,1.5950584,0.0,0.765401,1.0,4392,"tags=50%, list=27%, signal=69%",
GO_TRANSLATIONAL_INITIATION,GO_TRANSLATIONAL_INITIATION,,175,0.585305,1.594664,0.0,0.7552263,1.0,3887,"tags=65%, list=24%, signal=84%",
REACTOME_ACTIVATION_OF_THE_PRE_REPLICATIVE_COMPLEX,REACTOME_ACTIVATION_OF_THE_PRE_REPLICATIVE_COMPLEX,,32,0.69115365,1.5945032,0.0,0.7443277,1.0,4737,"tags=91%, list=30%, signal=128%",
REACTOME_REGULATION_OF_MITOTIC_CELL_CYCLE,REACTOME_REGULATION_OF_MITOTIC_CELL_CYCLE,,83,0.5541261,1.5925373,0.0,0.74672663,1.0,4333,"tags=60%, list=27%, signal=82%",
REACTOME_DETOXIFICATION_OF_REACTIVE_OXYGEN_SPECIES,REACTOME_DETOXIFICATION_OF_REACTIVE_OXYGEN_SPECIES,,28,0.61927336,1.5891273,0.0,0.7607091,1.0,3264,"tags=57%, list=20%, signal=72%",
GO_REGULATION_OF_DNA_REPLICATION,GO_REGULATION_OF_DNA_REPLICATION,,94,0.44351467,1.5889494,0.0,0.7509012,1.0,3454,"tags=45%, list=22%, signal=57%",
HALLMARK_MYC_TARGETS_V1,HALLMARK_MYC_TARGETS_V1,,196,0.6058609,1.584471,0.0,0.7706046,1.0,4737,"tags=72%, list=30%, signal=102%",
GO_POSTREPLICATION_REPAIR,GO_POSTREPLICATION_REPAIR,,49,0.54298484,1.583037,0.0,0.77040374,1.0,4205,"tags=57%, list=26%, signal=77%",
REACTOME_DEGRADATION_OF_AXIN,REACTOME_DEGRADATION_OF_AXIN,,52,0.50833434,1.5828044,0.0,0.7613895,1.0,4213,"tags=52%, list=26%, signal=70%",
REACTOME_TERMINATION_OF_TRANSLESION_DNA_SYNTHESIS,REACTOME_TERMINATION_OF_TRANSLESION_DNA_SYNTHESIS,,31,0.6191907,1.5815294,0.0,0.75761056,1.0,4205,"tags=65%, list=26%, signal=87%",
GO_PROTEIN_LOCALIZATION_TO_CHROMOSOME,GO_PROTEIN_LOCALIZATION_TO_CHROMOSOME,,72,0.5563008,1.5800188,0.0,0.75363237,1.0,4501,"tags=65%, list=28%, signal=90%",
REACTOME_CDK_MEDIATED_PHOSPHORYLATION_AND_REMOVAL_OF_CDC6,REACTOME_CDK_MEDIATED_PHOSPHORYLATION_AND_REMOVAL_OF_CDC6,,69,0.5172082,1.5777642,0.0,0.7552316,1.0,5817,"tags=68%, list=36%, signal=106%",
GO_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS,GO_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS,,189,0.55642736,1.5774795,0.0,0.7458176,1.0,3029,"tags=54%, list=19%, signal=66%",
GO_REGULATION_OF_UBIQUITIN_PROTEIN_TRANSFERASE_ACTIVITY,GO_REGULATION_OF_UBIQUITIN_PROTEIN_TRANSFERASE_ACTIVITY,,48,0.50437224,1.574763,0.0,0.75628036,1.0,2012,"tags=33%, list=13%, signal=38%",
GO_SPLICEOSOMAL_TRI_SNRNP_COMPLEX,GO_SPLICEOSOMAL_TRI_SNRNP_COMPLEX,,30,0.5864272,1.5736308,0.0,0.75511426,1.0,3788,"tags=50%, list=24%, signal=65%",
PID_ATR_PATHWAY,PID_ATR_PATHWAY,,39,0.5180136,1.5733007,0.08232932,0.7468854,1.0,4285,"tags=62%, list=27%, signal=84%",
GO_CYTOSOLIC_LARGE_RIBOSOMAL_SUBUNIT,GO_CYTOSOLIC_LARGE_RIBOSOMAL_SUBUNIT,,57,0.7178462,1.5732402,0.0,0.73640174,1.0,3322,"tags=82%, list=21%, signal=104%",
REACTOME_THE_ROLE_OF_GTSE1_IN_G2_M_PROGRESSION_AFTER_G2_CHECKPOINT,REACTOME_THE_ROLE_OF_GTSE1_IN_G2_M_PROGRESSION_AFTER_G2_CHECKPOINT,,69,0.465013,1.5721661,0.0,0.73360294,1.0,4213,"tags=55%, list=26%, signal=74%",
GO_HISTONE_PHOSPHORYLATION,GO_HISTONE_PHOSPHORYLATION,,34,0.44499245,1.5706252,0.08846154,0.7383331,1.0,1671,"tags=29%, list=10%, signal=33%",
REACTOME_G2_M_CHECKPOINTS,REACTOME_G2_M_CHECKPOINTS,,131,0.4962715,1.568495,0.0,0.746165,1.0,5309,"tags=66%, list=33%, signal=97%",
GO_CELL_CYCLE_DNA_REPLICATION,GO_CELL_CYCLE_DNA_REPLICATION,,61,0.59893626,1.5632969,0.0,0.77292275,1.0,4285,"tags=70%, list=27%, signal=96%",
PID_PLK1_PATHWAY,PID_PLK1_PATHWAY,,45,0.59095395,1.5632949,0.0,0.7628118,1.0,2234,"tags=53%, list=14%, signal=62%",
GO_REGULATION_OF_CELL_CYCLE_CHECKPOINT,GO_REGULATION_OF_CELL_CYCLE_CHECKPOINT,,30,0.5945593,1.562619,0.0,0.7638632,1.0,4309,"tags=70%, list=27%, signal=95%",
GO_DNA_REPLICATION_INDEPENDENT_NUCLEOSOME_ORGANIZATION,GO_DNA_REPLICATION_INDEPENDENT_NUCLEOSOME_ORGANIZATION,,38,0.64029056,1.5622001,0.0,0.755801,1.0,2811,"tags=63%, list=18%, signal=76%",
GO_NUCLEAR_DNA_REPLICATION,GO_NUCLEAR_DNA_REPLICATION,,52,0.5963548,1.5605048,0.0,0.75406224,1.0,4285,"tags=71%, list=27%, signal=97%",
GO_SISTER_CHROMATID_COHESION,GO_SISTER_CHROMATID_COHESION,,48,0.5661853,1.5592544,0.0,0.760498,1.0,3358,"tags=54%, list=21%, signal=68%",
GO_RIBOSOMAL_SMALL_SUBUNIT_ASSEMBLY,GO_RIBOSOMAL_SMALL_SUBUNIT_ASSEMBLY,,16,0.71810347,1.5587955,0.086134456,0.7544979,1.0,3814,"tags=75%, list=24%, signal=98%",
GO_REGULATION_OF_CELLULAR_AMINO_ACID_METABOLIC_PROCESS,GO_REGULATION_OF_CELLULAR_AMINO_ACID_METABOLIC_PROCESS,,54,0.4918554,1.5585434,0.0,0.7489542,1.0,4213,"tags=52%, list=26%, signal=70%",
REACTOME_CYCLIN_A:CDK2_ASSOCIATED_EVENTS_AT_S_PHASE_ENTRY,REACTOME_CYCLIN_A:CDK2_ASSOCIATED_EVENTS_AT_S_PHASE_ENTRY,,83,0.50546354,1.5566365,0.0,0.7493568,1.0,5480,"tags=63%, list=34%, signal=95%",
GO_CYCLIN_BINDING,GO_CYCLIN_BINDING,,28,0.47666728,1.5525835,0.0,0.7712414,1.0,2157,"tags=36%, list=13%, signal=41%",
REACTOME_NEGATIVE_REGULATION_OF_NOTCH4_SIGNALING,REACTOME_NEGATIVE_REGULATION_OF_NOTCH4_SIGNALING,,53,0.49982503,1.5496143,0.10973085,0.7805525,1.0,4213,"tags=51%, list=26%, signal=69%",
REACTOME_VIF_MEDIATED_DEGRADATION_OF_APOBEC3G,REACTOME_VIF_MEDIATED_DEGRADATION_OF_APOBEC3G,,49,0.534411,1.5453525,0.0,0.79840165,1.0,4213,"tags=55%, list=26%, signal=74%",
REACTOME_G1_S_DNA_DAMAGE_CHECKPOINTS,REACTOME_G1_S_DNA_DAMAGE_CHECKPOINTS,,64,0.5200526,1.5452548,0.0,0.79018575,1.0,5770,"tags=70%, list=36%, signal=109%",
GO_POSITIVE_REGULATION_OF_RECEPTOR_RECYCLING,GO_POSITIVE_REGULATION_OF_RECEPTOR_RECYCLING,,15,0.46895376,1.5421313,0.0,0.8015063,1.0,98,"tags=20%, list=1%, signal=20%",
GO_DNA_PACKAGING,GO_DNA_PACKAGING,,124,0.42792177,1.5400684,0.0,0.8023201,1.0,3247,"tags=43%, list=20%, signal=53%",
GO_DAMAGED_DNA_BINDING,GO_DAMAGED_DNA_BINDING,,64,0.4924081,1.5385332,0.08282828,0.8032562,1.0,5178,"tags=64%, list=32%, signal=94%",
KEGG_DNA_REPLICATION,KEGG_DNA_REPLICATION,,35,0.6910889,1.5362328,0.0,0.8093337,1.0,4205,"tags=83%, list=26%, signal=112%",
GO_NEGATIVE_REGULATION_OF_UBIQUITIN_PROTEIN_TRANSFERASE_ACTIVITY,GO_NEGATIVE_REGULATION_OF_UBIQUITIN_PROTEIN_TRANSFERASE_ACTIVITY,,16,0.6585751,1.5324775,0.0,0.8260201,1.0,1997,"tags=50%, list=12%, signal=57%",
REACTOME_REGULATION_OF_APOPTOSIS,REACTOME_REGULATION_OF_APOPTOSIS,,50,0.51549184,1.5322136,0.0,0.81888914,1.0,4213,"tags=54%, list=26%, signal=73%",
GO_MITOCHONDRIAL_TRANSLATIONAL_TERMINATION,GO_MITOCHONDRIAL_TRANSLATIONAL_TERMINATION,,87,0.575095,1.5317291,0.30722892,0.8152163,1.0,5624,"tags=77%, list=35%, signal=118%",
PID_AURORA_A_PATHWAY,PID_AURORA_A_PATHWAY,,31,0.373589,1.5280228,0.0,0.8350908,1.0,1442,"tags=29%, list=9%, signal=32%",
GO_SISTER_CHROMATID_SEGREGATION,GO_SISTER_CHROMATID_SEGREGATION,,170,0.5232505,1.5278007,0.0,0.8288921,1.0,3380,"tags=54%, list=21%, signal=67%",
GO_CYTOKINETIC_PROCESS,GO_CYTOKINETIC_PROCESS,,37,0.46006733,1.5273616,0.0,0.82284486,1.0,3224,"tags=49%, list=20%, signal=61%",
GO_TRIGLYCERIDE_METABOLIC_PROCESS,GO_TRIGLYCERIDE_METABOLIC_PROCESS,,26,0.42586356,1.5260162,0.0,0.8231682,1.0,2610,"tags=35%, list=16%, signal=41%",
REACTOME_TRANSLESION_SYNTHESIS_BY_POLH,REACTOME_TRANSLESION_SYNTHESIS_BY_POLH,,18,0.69379324,1.5250322,0.0,0.82085025,1.0,4205,"tags=83%, list=26%, signal=113%",
GO_ERROR_FREE_TRANSLESION_SYNTHESIS,GO_ERROR_FREE_TRANSLESION_SYNTHESIS,,18,0.6937932,1.525032,0.0,0.81278914,1.0,4205,"tags=83%, list=26%, signal=113%",
GO_MEIOTIC_CHROMOSOME_SEPARATION,GO_MEIOTIC_CHROMOSOME_SEPARATION,,18,0.5564641,1.5248995,0.0,0.8052309,1.0,2864,"tags=56%, list=18%, signal=68%",
GO_INTERSTRAND_CROSS_LINK_REPAIR,GO_INTERSTRAND_CROSS_LINK_REPAIR,,46,0.5024,1.5247004,0.0,0.8007147,1.0,4621,"tags=61%, list=29%, signal=85%",
KEGG_SPLICEOSOME,KEGG_SPLICEOSOME,,124,0.5233002,1.5245397,0.0,0.79343224,1.0,5039,"tags=57%, list=31%, signal=83%",
GO_MITOTIC_CELL_CYCLE_CHECKPOINT,GO_MITOTIC_CELL_CYCLE_CHECKPOINT,,153,0.48231578,1.5241789,0.0,0.78940535,1.0,4309,"tags=54%, list=27%, signal=73%",
REACTOME_E2F_MEDIATED_REGULATION_OF_DNA_REPLICATION,REACTOME_E2F_MEDIATED_REGULATION_OF_DNA_REPLICATION,,22,0.6071197,1.5234069,0.0,0.7880235,1.0,2870,"tags=59%, list=18%, signal=72%",
GO_PIGMENT_GRANULE_ORGANIZATION,GO_PIGMENT_GRANULE_ORGANIZATION,,24,0.4282541,1.5217211,0.0,0.78934085,1.0,1743,"tags=29%, list=11%, signal=33%",
REACTOME_HDR_THROUGH_SINGLE_STRAND_ANNEALING_SSA,REACTOME_HDR_THROUGH_SINGLE_STRAND_ANNEALING_SSA,,36,0.57241136,1.5216589,0.0,0.7829518,1.0,1342,"tags=39%, list=8%, signal=42%",
GO_PIGMENT_GRANULE,GO_PIGMENT_GRANULE,,102,0.46256062,1.5203838,0.0,0.78642535,1.0,3367,"tags=48%, list=21%, signal=60%",
REACTOME_DNA_STRAND_ELONGATION,REACTOME_DNA_STRAND_ELONGATION,,32,0.72343636,1.5198028,0.08282828,0.7829363,1.0,4205,"tags=97%, list=26%, signal=131%",
GO_NUCLEOSOMAL_DNA_BINDING,GO_NUCLEOSOMAL_DNA_BINDING,,32,0.55504,1.5182797,0.0,0.7868301,1.0,3574,"tags=59%, list=22%, signal=76%",
GO_PEPTIDYL_PROLINE_MODIFICATION,GO_PEPTIDYL_PROLINE_MODIFICATION,,44,0.49042845,1.5173216,0.10192308,0.78798276,1.0,4628,"tags=55%, list=29%, signal=76%",
BIOCARTA_MCM_PATHWAY,BIOCARTA_MCM_PATHWAY,,18,0.6425482,1.5162339,0.08266129,0.7871798,1.0,5043,"tags=83%, list=31%, signal=121%",
GO_ORGANELLAR_RIBOSOME,GO_ORGANELLAR_RIBOSOME,,85,0.5715729,1.5161294,0.19341564,0.781061,1.0,5624,"tags=76%, list=35%, signal=117%",
REACTOME_MRNA_SPLICING_MINOR_PATHWAY,REACTOME_MRNA_SPLICING_MINOR_PATHWAY,,51,0.5507665,1.5132629,0.0,0.79476756,1.0,5762,"tags=69%, list=36%, signal=107%",
GO_CATALYTIC_STEP_2_SPLICEOSOME,GO_CATALYTIC_STEP_2_SPLICEOSOME,,84,0.5388145,1.5128602,0.0,0.79150987,1.0,3987,"tags=51%, list=25%, signal=68%",
GO_NEGATIVE_REGULATION_OF_CELL_CYCLE_G2_M_PHASE_TRANSITION,GO_NEGATIVE_REGULATION_OF_CELL_CYCLE_G2_M_PHASE_TRANSITION,,92,0.43568736,1.511645,0.0,0.79221594,1.0,4455,"tags=48%, list=28%, signal=66%",
GO_REGULATION_OF_DOUBLE_STRAND_BREAK_REPAIR_VIA_NONHOMOLOGOUS_END_JOINING,GO_REGULATION_OF_DOUBLE_STRAND_BREAK_REPAIR_VIA_NONHOMOLOGOUS_END_JOINING,,16,0.6163189,1.5116115,0.0,0.7863949,1.0,558,"tags=25%, list=3%, signal=26%",
GO_PROTEIN_LOCALIZATION_TO_KINETOCHORE,GO_PROTEIN_LOCALIZATION_TO_KINETOCHORE,,15,0.7569334,1.5105226,0.0,0.7843809,1.0,3146,"tags=80%, list=20%, signal=99%",
GO_ESTABLISHMENT_OF_MITOTIC_SPINDLE_LOCALIZATION,GO_ESTABLISHMENT_OF_MITOTIC_SPINDLE_LOCALIZATION,,27,0.47757408,1.5100659,0.0,0.78047585,1.0,3380,"tags=56%, list=21%, signal=70%",
GO_NEGATIVE_REGULATION_OF_MRNA_PROCESSING,GO_NEGATIVE_REGULATION_OF_MRNA_PROCESSING,,29,0.47147152,1.5086175,0.08282828,0.78423065,1.0,4938,"tags=59%, list=31%, signal=85%",
GO_NUCLEOBASE_CONTAINING_SMALL_MOLECULE_INTERCONVERSION,GO_NUCLEOBASE_CONTAINING_SMALL_MOLECULE_INTERCONVERSION,,29,0.56284815,1.5079842,0.0,0.77981746,1.0,2968,"tags=52%, list=18%, signal=63%",
REACTOME_SIGNALING_BY_FGFR2_IIIA_TM,REACTOME_SIGNALING_BY_FGFR2_IIIA_TM,,19,0.51559013,1.5071042,0.084886126,0.7790953,1.0,6236,"tags=79%, list=39%, signal=129%",
GO_DNA_SYNTHESIS_INVOLVED_IN_DNA_REPAIR,GO_DNA_SYNTHESIS_INVOLVED_IN_DNA_REPAIR,,46,0.51016927,1.5068594,0.0,0.7736826,1.0,4539,"tags=57%, list=28%, signal=79%",
REACTOME_PCNA_DEPENDENT_LONG_PATCH_BASE_EXCISION_REPAIR,REACTOME_PCNA_DEPENDENT_LONG_PATCH_BASE_EXCISION_REPAIR,,21,0.7225843,1.5054582,0.0,0.77930135,1.0,4205,"tags=86%, list=26%, signal=116%",
