NAME,GS<br> follow link to MSigDB,GS DETAILS,SIZE,ES,NES,NOM p-val,FDR q-val,FWER p-val,RANK AT MAX,LEADING EDGE,
REACTOME_GLUTAMATE_BINDING_ACTIVATION_OF_AMPA_RECEPTORS_AND_SYNAPTIC_PLASTICITY,REACTOME_GLUTAMATE_BINDING_ACTIVATION_OF_AMPA_RECEPTORS_AND_SYNAPTIC_PLASTICITY,,31,-0.6575533,-1.6186717,0.0,0.7475706,0.941,3093,"tags=71%, list=19%, signal=88%",
GO_CEREBELLAR_CORTEX_MORPHOGENESIS,GO_CEREBELLAR_CORTEX_MORPHOGENESIS,,27,-0.58466196,-1.6173565,0.0,0.74048173,0.941,2215,"tags=41%, list=14%, signal=47%",
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE,KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE,,26,-0.6206181,-1.6161636,0.0,0.7295363,0.941,3413,"tags=50%, list=21%, signal=63%",
GO_REGULATION_OF_AXONOGENESIS,GO_REGULATION_OF_AXONOGENESIS,,179,-0.48435563,-1.6136478,0.0,0.7350393,0.941,3017,"tags=46%, list=19%, signal=56%",
GO_PROTEIN_TRANSPORT_WITHIN_LIPID_BILAYER,GO_PROTEIN_TRANSPORT_WITHIN_LIPID_BILAYER,,52,-0.57416844,-1.613502,0.0,0.7175508,0.941,2518,"tags=48%, list=16%, signal=57%",
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES,KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES,,21,-0.54190576,-1.6099526,0.0,0.74027467,0.941,1875,"tags=43%, list=12%, signal=48%",
GO_CEREBRAL_CORTEX_CELL_MIGRATION,GO_CEREBRAL_CORTEX_CELL_MIGRATION,,39,-0.60536665,-1.6097014,0.0,0.7277889,1.0,3360,"tags=67%, list=21%, signal=84%",
GO_AXO_DENDRITIC_TRANSPORT,GO_AXO_DENDRITIC_TRANSPORT,,64,-0.4736767,-1.6095351,0.0,0.71243995,1.0,3143,"tags=47%, list=20%, signal=58%",
GO_G_PROTEIN_COUPLED_AMINE_RECEPTOR_ACTIVITY,GO_G_PROTEIN_COUPLED_AMINE_RECEPTOR_ACTIVITY,,24,-0.6950057,-1.6071873,0.0,0.7194371,1.0,1810,"tags=54%, list=11%, signal=61%",
GO_EXPORT_ACROSS_PLASMA_MEMBRANE,GO_EXPORT_ACROSS_PLASMA_MEMBRANE,,23,-0.5681432,-1.6064808,0.0,0.7095011,1.0,1999,"tags=39%, list=12%, signal=45%",
GO_POSITIVE_REGULATION_OF_NEUROLOGICAL_SYSTEM_PROCESS,GO_POSITIVE_REGULATION_OF_NEUROLOGICAL_SYSTEM_PROCESS,,52,-0.64100593,-1.604471,0.0,0.70685375,1.0,3232,"tags=62%, list=20%, signal=77%",
GO_AXON_EXTENSION,GO_AXON_EXTENSION,,114,-0.48956978,-1.604328,0.0,0.6920382,1.0,2821,"tags=46%, list=18%, signal=56%",
GO_INTRASPECIES_INTERACTION_BETWEEN_ORGANISMS,GO_INTRASPECIES_INTERACTION_BETWEEN_ORGANISMS,,46,-0.6327812,-1.6035933,0.0,0.6813385,1.0,2209,"tags=57%, list=14%, signal=65%",
GO_NEUROMUSCULAR_JUNCTION,GO_NEUROMUSCULAR_JUNCTION,,71,-0.45782584,-1.6032236,0.0,0.6722044,1.0,3989,"tags=45%, list=25%, signal=60%",
GO_PHOSPHOLIPASE_C_ACTIVATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY,GO_PHOSPHOLIPASE_C_ACTIVATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY,,55,-0.5496317,-1.602279,0.0,0.66504115,1.0,2511,"tags=47%, list=16%, signal=56%",
PID_CXCR3_PATHWAY,PID_CXCR3_PATHWAY,,34,-0.56869596,-1.6020786,0.0,0.65335864,1.0,4583,"tags=68%, list=29%, signal=94%",
GO_MODULATION_OF_EXCITATORY_POSTSYNAPTIC_POTENTIAL,GO_MODULATION_OF_EXCITATORY_POSTSYNAPTIC_POTENTIAL,,40,-0.61503077,-1.6020123,0.0,0.6418035,1.0,3291,"tags=63%, list=20%, signal=78%",
GO_VOCALIZATION_BEHAVIOR,GO_VOCALIZATION_BEHAVIOR,,16,-0.6874819,-1.6013502,0.0,0.6346434,1.0,1777,"tags=63%, list=11%, signal=70%",
GO_NEURON_PROJECTION_EXTENSION,GO_NEURON_PROJECTION_EXTENSION,,157,-0.46709836,-1.5942091,0.0,0.6677515,1.0,2821,"tags=45%, list=18%, signal=54%",
GO_STEM_CELL_DIVISION,GO_STEM_CELL_DIVISION,,37,-0.415947,-1.5899409,0.0,0.6796204,1.0,1937,"tags=27%, list=12%, signal=31%",
GO_ADRENERGIC_RECEPTOR_BINDING,GO_ADRENERGIC_RECEPTOR_BINDING,,18,-0.5815984,-1.5899278,0.0,0.6678357,1.0,3143,"tags=50%, list=20%, signal=62%",
GO_RECEPTOR_TYROSINE_KINASE_BINDING,GO_RECEPTOR_TYROSINE_KINASE_BINDING,,55,-0.40058228,-1.5891862,0.0,0.6592004,1.0,1834,"tags=29%, list=11%, signal=33%",
REACTOME_PROTEIN_PROTEIN_INTERACTIONS_AT_SYNAPSES,REACTOME_PROTEIN_PROTEIN_INTERACTIONS_AT_SYNAPSES,,85,-0.65969986,-1.5890161,0.084886126,0.65160465,1.0,3358,"tags=72%, list=21%, signal=90%",
GO_AXON_CYTOPLASM,GO_AXON_CYTOPLASM,,54,-0.45922682,-1.5875837,0.0,0.65175796,1.0,3143,"tags=48%, list=20%, signal=60%",
GO_POSITIVE_REGULATION_OF_REGULATED_SECRETORY_PATHWAY,GO_POSITIVE_REGULATION_OF_REGULATED_SECRETORY_PATHWAY,,42,-0.5566475,-1.5874853,0.0,0.64196247,1.0,2762,"tags=48%, list=17%, signal=57%",
GO_SEROTONIN_RECEPTOR_ACTIVITY,GO_SEROTONIN_RECEPTOR_ACTIVITY,,16,-0.72722304,-1.5874324,0.0,0.63279057,1.0,2367,"tags=69%, list=15%, signal=81%",
GO_SEROTONIN_RECEPTOR_SIGNALING_PATHWAY,GO_SEROTONIN_RECEPTOR_SIGNALING_PATHWAY,,16,-0.72722304,-1.5874324,0.0,0.62206537,1.0,2367,"tags=69%, list=15%, signal=81%",
GO_POSTSYNAPSE_ORGANIZATION,GO_POSTSYNAPSE_ORGANIZATION,,153,-0.5126735,-1.5872202,0.0,0.61369973,1.0,3946,"tags=54%, list=25%, signal=71%",
GO_NEGATIVE_REGULATION_OF_SMOOTHENED_SIGNALING_PATHWAY,GO_NEGATIVE_REGULATION_OF_SMOOTHENED_SIGNALING_PATHWAY,,27,-0.5774657,-1.5862387,0.0,0.6113937,1.0,3658,"tags=52%, list=23%, signal=67%",
GO_ARF_GUANYL_NUCLEOTIDE_EXCHANGE_FACTOR_ACTIVITY,GO_ARF_GUANYL_NUCLEOTIDE_EXCHANGE_FACTOR_ACTIVITY,,18,-0.58098197,-1.5854411,0.08266129,0.60805124,1.0,2186,"tags=50%, list=14%, signal=58%",
GO_DENDRITE_EXTENSION,GO_DENDRITE_EXTENSION,,31,-0.62560153,-1.5845331,0.0,0.6039582,1.0,2398,"tags=52%, list=15%, signal=61%",
GO_PROTEIN_PHOSPHATASE_TYPE_2A_COMPLEX,GO_PROTEIN_PHOSPHATASE_TYPE_2A_COMPLEX,,18,-0.53253376,-1.5834557,0.0,0.6008707,1.0,3545,"tags=39%, list=22%, signal=50%",
GO_POSTSYNAPTIC_NEUROTRANSMITTER_RECEPTOR_INTERNALIZATION,GO_POSTSYNAPTIC_NEUROTRANSMITTER_RECEPTOR_INTERNALIZATION,,17,-0.6338896,-1.5822679,0.0,0.59990776,1.0,2518,"tags=41%, list=16%, signal=49%",
GO_SITE_OF_POLARIZED_GROWTH,GO_SITE_OF_POLARIZED_GROWTH,,155,-0.4815147,-1.5822217,0.084886126,0.59165096,1.0,3253,"tags=47%, list=20%, signal=58%",
GO_VESICLE_MEDIATED_TRANSPORT_IN_SYNAPSE,GO_VESICLE_MEDIATED_TRANSPORT_IN_SYNAPSE,,192,-0.5070254,-1.5813255,0.084886126,0.586585,1.0,3291,"tags=50%, list=20%, signal=62%",
GO_REGULATION_OF_REGULATED_SECRETORY_PATHWAY,GO_REGULATION_OF_REGULATED_SECRETORY_PATHWAY,,132,-0.5112371,-1.5810951,0.0,0.5793315,1.0,3266,"tags=49%, list=20%, signal=61%",
REACTOME_TRAFFICKING_OF_GLUR2_CONTAINING_AMPA_RECEPTORS,REACTOME_TRAFFICKING_OF_GLUR2_CONTAINING_AMPA_RECEPTORS,,17,-0.6914593,-1.5806856,0.0,0.57397735,1.0,3093,"tags=71%, list=19%, signal=87%",
GO_REGULATION_OF_NEUROLOGICAL_SYSTEM_PROCESS,GO_REGULATION_OF_NEUROLOGICAL_SYSTEM_PROCESS,,108,-0.533626,-1.580401,0.0,0.56891876,1.0,3291,"tags=50%, list=20%, signal=62%",
GO_NEURON_CELLULAR_HOMEOSTASIS,GO_NEURON_CELLULAR_HOMEOSTASIS,,26,-0.6439381,-1.5792623,0.0,0.56643015,1.0,4197,"tags=65%, list=26%, signal=88%",
GO_LEARNING,GO_LEARNING,,130,-0.4839015,-1.5781366,0.0,0.56489885,1.0,2585,"tags=41%, list=16%, signal=48%",
GO_CEREBELLAR_CORTEX_FORMATION,GO_CEREBELLAR_CORTEX_FORMATION,,19,-0.6767243,-1.5774447,0.0,0.5616778,1.0,2215,"tags=47%, list=14%, signal=55%",
REACTOME_CHONDROITIN_SULFATE_BIOSYNTHESIS,REACTOME_CHONDROITIN_SULFATE_BIOSYNTHESIS,,19,-0.620987,-1.5772307,0.0,0.5559061,1.0,667,"tags=26%, list=4%, signal=27%",
GO_PRESYNAPTIC_ACTIVE_ZONE,GO_PRESYNAPTIC_ACTIVE_ZONE,,64,-0.548546,-1.5763544,0.0,0.5509036,1.0,3067,"tags=53%, list=19%, signal=65%",
GO_PALLIUM_DEVELOPMENT,GO_PALLIUM_DEVELOPMENT,,157,-0.40346137,-1.5761881,0.0,0.54503256,1.0,2591,"tags=38%, list=16%, signal=45%",
GO_GABA_ERGIC_SYNAPSE,GO_GABA_ERGIC_SYNAPSE,,68,-0.6319137,-1.5749402,0.0,0.54533577,1.0,3739,"tags=69%, list=23%, signal=90%",
REACTOME_SIGNALING_BY_NTRKS,REACTOME_SIGNALING_BY_NTRKS,,98,-0.4665865,-1.5743325,0.0,0.53954226,1.0,2930,"tags=42%, list=18%, signal=51%",
GO_ORGANELLE_TRANSPORT_ALONG_MICROTUBULE,GO_ORGANELLE_TRANSPORT_ALONG_MICROTUBULE,,74,-0.44771767,-1.5740938,0.0,0.53381467,1.0,3331,"tags=43%, list=21%, signal=54%",
REACTOME_NEUROTRANSMITTER_RELEASE_CYCLE,REACTOME_NEUROTRANSMITTER_RELEASE_CYCLE,,45,-0.6682386,-1.57361,0.0,0.5293769,1.0,3672,"tags=69%, list=23%, signal=89%",
GO_HINDBRAIN_MORPHOGENESIS,GO_HINDBRAIN_MORPHOGENESIS,,36,-0.48340428,-1.5717837,0.0,0.5340475,1.0,2541,"tags=36%, list=16%, signal=43%",
REACTOME_RET_SIGNALING,REACTOME_RET_SIGNALING,,35,-0.5721194,-1.5671993,0.0,0.5474534,1.0,2553,"tags=54%, list=16%, signal=64%",
GO_CALCIUM_DEPENDENT_CELL_CELL_ADHESION_VIA_PLASMA_MEMBRANE_CELL_ADHESION_MOLECULES,GO_CALCIUM_DEPENDENT_CELL_CELL_ADHESION_VIA_PLASMA_MEMBRANE_CELL_ADHESION_MOLECULES,,39,-0.5797288,-1.5665982,0.0,0.544117,1.0,3261,"tags=59%, list=20%, signal=74%",
GO_SYNAPTIC_VESICLE_LOCALIZATION,GO_SYNAPTIC_VESICLE_LOCALIZATION,,153,-0.5259987,-1.5627364,0.084886126,0.5545718,1.0,3266,"tags=53%, list=20%, signal=66%",
GO_ADULT_BEHAVIOR,GO_ADULT_BEHAVIOR,,120,-0.48064038,-1.5623074,0.0,0.54973865,1.0,1778,"tags=35%, list=11%, signal=39%",
GO_STRUCTURAL_CONSTITUENT_OF_SYNAPSE,GO_STRUCTURAL_CONSTITUENT_OF_SYNAPSE,,16,-0.5668821,-1.560998,0.0,0.54817575,1.0,3773,"tags=63%, list=23%, signal=82%",
GO_HOMOPHILIC_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES,GO_HOMOPHILIC_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES,,140,-0.5441318,-1.5608394,0.0,0.5425072,1.0,3249,"tags=54%, list=20%, signal=67%",
GO_POSITIVE_REGULATION_OF_NOTCH_SIGNALING_PATHWAY,GO_POSITIVE_REGULATION_OF_NOTCH_SIGNALING_PATHWAY,,43,-0.43536508,-1.5604321,0.0,0.5383685,1.0,2810,"tags=35%, list=18%, signal=42%",
GO_REGULATION_OF_POSTSYNAPTIC_MEMBRANE_POTENTIAL,GO_REGULATION_OF_POSTSYNAPTIC_MEMBRANE_POTENTIAL,,129,-0.5791376,-1.5579827,0.0,0.5456259,1.0,3586,"tags=60%, list=22%, signal=77%",
PID_P38_MK2_PATHWAY,PID_P38_MK2_PATHWAY,,19,-0.44438347,-1.557626,0.0,0.5424565,1.0,2803,"tags=37%, list=17%, signal=45%",
GO_PROTEIN_DEPOLYMERIZATION,GO_PROTEIN_DEPOLYMERIZATION,,91,-0.40576297,-1.5562525,0.0,0.5470563,1.0,2698,"tags=38%, list=17%, signal=46%",
GO_NEUROTRANSMITTER_RECEPTOR_INTERNALIZATION,GO_NEUROTRANSMITTER_RECEPTOR_INTERNALIZATION,,24,-0.6254542,-1.5559012,0.0,0.5422433,1.0,2940,"tags=50%, list=18%, signal=61%",
GO_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_POSTSYNAPTIC_MEMBRANE,GO_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_POSTSYNAPTIC_MEMBRANE,,17,-0.58558714,-1.5549291,0.0,0.5419647,1.0,2134,"tags=47%, list=13%, signal=54%",
GO_SYNAPTIC_VESICLE_CYCLE,GO_SYNAPTIC_VESICLE_CYCLE,,183,-0.524194,-1.5521389,0.084886126,0.549278,1.0,3291,"tags=52%, list=20%, signal=65%",
GO_SYNAPSE_MATURATION,GO_SYNAPSE_MATURATION,,22,-0.56014043,-1.5518764,0.0,0.546809,1.0,1434,"tags=45%, list=9%, signal=50%",
GO_REGULATION_OF_NEUROTRANSMITTER_RECEPTOR_ACTIVITY,GO_REGULATION_OF_NEUROTRANSMITTER_RECEPTOR_ACTIVITY,,65,-0.6152838,-1.5514123,0.08436214,0.5444738,1.0,3200,"tags=66%, list=20%, signal=82%",
REACTOME_RAF_ACTIVATION,REACTOME_RAF_ACTIVATION,,30,-0.528027,-1.549993,0.0,0.5443102,1.0,4857,"tags=63%, list=30%, signal=91%",
GO_DERMATAN_SULFATE_PROTEOGLYCAN_BIOSYNTHETIC_PROCESS,GO_DERMATAN_SULFATE_PROTEOGLYCAN_BIOSYNTHETIC_PROCESS,,15,-0.59837836,-1.5499655,0.0,0.53931737,1.0,675,"tags=33%, list=4%, signal=35%",
GO_CHEMICAL_SYNAPTIC_TRANSMISSION_POSTSYNAPTIC,GO_CHEMICAL_SYNAPTIC_TRANSMISSION_POSTSYNAPTIC,,98,-0.54640967,-1.5496438,0.0,0.53474903,1.0,3586,"tags=57%, list=22%, signal=73%",
GO_POSITIVE_REGULATION_OF_BLOOD_CIRCULATION,GO_POSITIVE_REGULATION_OF_BLOOD_CIRCULATION,,49,-0.51589656,-1.5495949,0.0,0.52995163,1.0,2459,"tags=41%, list=15%, signal=48%",
GO_REGULATION_OF_CATION_CHANNEL_ACTIVITY,GO_REGULATION_OF_CATION_CHANNEL_ACTIVITY,,142,-0.5360654,-1.5491599,0.0,0.5296617,1.0,3725,"tags=61%, list=23%, signal=78%",
GO_REGULATION_OF_POSTSYNAPTIC_MEMBRANE_NEUROTRANSMITTER_RECEPTOR_LEVELS,GO_REGULATION_OF_POSTSYNAPTIC_MEMBRANE_NEUROTRANSMITTER_RECEPTOR_LEVELS,,62,-0.54027164,-1.548347,0.0,0.5274091,1.0,3249,"tags=48%, list=20%, signal=60%",
GO_METENCEPHALON_DEVELOPMENT,GO_METENCEPHALON_DEVELOPMENT,,98,-0.4217797,-1.5481731,0.0,0.5235068,1.0,3686,"tags=42%, list=23%, signal=54%",
GO_RESPONSE_TO_ACETYLCHOLINE,GO_RESPONSE_TO_ACETYLCHOLINE,,24,-0.6888011,-1.5476892,0.0,0.52204573,1.0,1998,"tags=50%, list=12%, signal=57%",
GO_RECEPTOR_SIGNALING_COMPLEX_SCAFFOLD_ACTIVITY,GO_RECEPTOR_SIGNALING_COMPLEX_SCAFFOLD_ACTIVITY,,21,-0.5394249,-1.54709,0.0,0.52157265,1.0,2880,"tags=52%, list=18%, signal=64%",
GO_SYNAPSE_ASSEMBLY,GO_SYNAPSE_ASSEMBLY,,160,-0.5312717,-1.5466044,0.0,0.5178962,1.0,3368,"tags=52%, list=21%, signal=66%",
KEGG_RENAL_CELL_CARCINOMA,KEGG_RENAL_CELL_CARCINOMA,,63,-0.41103658,-1.54636,0.0,0.5154548,1.0,4389,"tags=51%, list=27%, signal=70%",
GO_EXPLORATION_BEHAVIOR,GO_EXPLORATION_BEHAVIOR,,20,-0.7344721,-1.546054,0.0,0.51210296,1.0,2721,"tags=75%, list=17%, signal=90%",
REACTOME_GLUTAMATE_NEUROTRANSMITTER_RELEASE_CYCLE,REACTOME_GLUTAMATE_NEUROTRANSMITTER_RELEASE_CYCLE,,22,-0.752738,-1.5456315,0.0,0.50973547,1.0,3266,"tags=77%, list=20%, signal=97%",
REACTOME_SIGNALING_BY_RAS_MUTANTS,REACTOME_SIGNALING_BY_RAS_MUTANTS,,52,-0.48095495,-1.5455546,0.0,0.505601,1.0,4665,"tags=60%, list=29%, signal=84%",
GO_SOMATIC_STEM_CELL_DIVISION,GO_SOMATIC_STEM_CELL_DIVISION,,23,-0.4482113,-1.5452881,0.0,0.5026025,1.0,1937,"tags=30%, list=12%, signal=35%",
GO_LEADING_EDGE_MEMBRANE,GO_LEADING_EDGE_MEMBRANE,,148,-0.42066413,-1.5449911,0.0,0.49965394,1.0,3378,"tags=41%, list=21%, signal=51%",
GO_SYNAPTIC_VESICLE_EXOCYTOSIS,GO_SYNAPTIC_VESICLE_EXOCYTOSIS,,112,-0.5488291,-1.5448714,0.084886126,0.49571908,1.0,3266,"tags=55%, list=20%, signal=69%",
GO_CENTRAL_NERVOUS_SYSTEM_NEURON_DEVELOPMENT,GO_CENTRAL_NERVOUS_SYSTEM_NEURON_DEVELOPMENT,,75,-0.5456779,-1.5448328,0.0,0.49273732,1.0,3000,"tags=47%, list=19%, signal=57%",
PID_REELIN_PATHWAY,PID_REELIN_PATHWAY,,28,-0.5547476,-1.543903,0.18359375,0.49184963,1.0,4537,"tags=71%, list=28%, signal=99%",
REACTOME_NEGATIVE_REGULATION_OF_NMDA_RECEPTOR_MEDIATED_NEURONAL_TRANSMISSION,REACTOME_NEGATIVE_REGULATION_OF_NMDA_RECEPTOR_MEDIATED_NEURONAL_TRANSMISSION,,21,-0.6700542,-1.5438983,0.08151093,0.488084,1.0,3253,"tags=71%, list=20%, signal=89%",
GO_MOTOR_NEURON_AXON_GUIDANCE,GO_MOTOR_NEURON_AXON_GUIDANCE,,22,-0.53602195,-1.543118,0.0,0.48998666,1.0,2517,"tags=41%, list=16%, signal=48%",
GO_CALCIUM_ION_REGULATED_EXOCYTOSIS,GO_CALCIUM_ION_REGULATED_EXOCYTOSIS,,140,-0.51475847,-1.5430983,0.08436214,0.4862999,1.0,3266,"tags=54%, list=20%, signal=67%",
GO_REGULATION_OF_GLUTAMATE_RECEPTOR_SIGNALING_PATHWAY,GO_REGULATION_OF_GLUTAMATE_RECEPTOR_SIGNALING_PATHWAY,,60,-0.6466795,-1.5430015,0.08436214,0.48267627,1.0,3200,"tags=68%, list=20%, signal=85%",
